bottle,bottle_name,depth,lat,lon,temp,par,chl,sal
1,daphne_20210901T182646_Sipper_Sipper 1,200.07660320894266,-121.84676749941306,36.79674240390987,8.591268763352941,-0.002502773487058823,0.03294089464705881,34.097699557941176
2,daphne_20210901T182646_Sipper_Sipper 2,150.09205541888198,-121.84670623924508,36.79674461925903,9.264742228826076,-0.005061925161206895,0.03165185858695651,34.02243489717392
3,daphne_20210901T182646_Sipper_Sipper 3,80.0339811113992,-121.8466737559578,36.796713781997305,10.220075108260865,-0.004098296303478259,0.048532962,33.89547182282608
4,daphne_20210901T182646_Sipper_Sipper 4,60.06040141277394,-121.84662288880827,36.79664393949809,10.761175651739125,-0.004749996676756523,0.054538562130434794,33.826682879130445
5,daphne_20210901T182646_Sipper_Sipper 5,59.994025432569444,-121.84661598712991,36.796627817492805,10.74894739086956,-0.004633283474137932,0.053321262826086964,33.82774021391305
6,daphne_20210901T182646_Sipper_Sipper 6,40.07031309164759,-121.84656769207254,36.79648194465118,11.130086816170207,-0.007109966817870692,0.06257303802173914,33.785617097659575
7,daphne_20210901T182646_Sipper_Sipper 7,40.03226952972906,-121.84654984346749,36.796360396137565,11.153499021304343,-0.005224404683760684,0.06305997363043478,33.78281386043477
8,daphne_20210901T182646_Sipper_Sipper 8,30.05386171171817,-121.84650646317041,36.7960395094922,11.613927010434779,-0.0011518033412564095,0.08078205544680847,33.74559983000002
9,daphne_20210901T182646_Sipper_Sipper 9,30.0319865550121,-121.84652723883424,36.7957907961592,11.640725114042548,0.0016507272162393167,0.08278169449999996,33.743411936595756
10,daphne_20210901T182646_Sipper_Sipper 10,20.070294565016585,-121.84653739623877,36.795321887160654,12.28866394382978,0.027275902771186442,0.14774288540425534,33.705041762978695
11,daphne_20210901T182646_Sipper_Sipper 11,20.048570916184737,-121.84667572356155,36.79511135858461,12.34019319914893,0.05961589292372882,0.15131692929787227,33.706198346382955
12,daphne_20210901T182646_Sipper_Sipper 12,10.103679024261673,-121.84693395190835,36.79491660264531,14.237207411249992,0.5923018473277311,0.9157690532765954,33.712029456666656
13,daphne_20210901T182646_Sipper_Sipper 13,10.180728765354225,-121.84703485949655,36.794860286155576,14.08404985916666,0.8457905018991597,0.6545956199361701,33.71212879729166
14,daphne_20210901T182646_Sipper_Sipper 14,1.9997903269307014,-121.847153450819,36.7947963003023,16.36429559276595,8.692348660689076,2.346491991404255,33.72372972361702
15,daphne_20210901T182646_Sipper_Sipper 15,2.1426121886307827,-121.84717667459914,36.79473154316677,16.36279958212765,9.931748115288132,2.377534913021739,33.72419641531915
